author,cat_earliest,cat_latest
   Sasaki for HAL QCD collaboration,hep-lat,nucl-th
  ),astro-ph.CO,cs.LG
  -,astro-ph,cond-mat.mtrl-sci
  --,astro-ph,astro-ph.GA
  .,astro-ph,cond-mat.mtrl-sci
  01 Collaboration,astro-ph,hep-ph
  1,hep-th,cond-mat.mes-hall
  100 Collaboration,physics.ins-det,hep-ex
  20k Collaboration,astro-ph.IM,physics.ins-det
  3,cond-mat.mes-hall,math.NA
  4,hep-ph,cond-mat.mes-hall
  5,cond-mat.mtrl-sci,astro-ph.SR
  :,astro-ph,hep-ex
  A,hep-lat,astro-ph.EP
  A1 Collaboration,hep-ph,nucl-ex
  ADMX Collaboration,astro-ph.CO,hep-ex
  AIRFLY Collaboration,astro-ph,astro-ph.IM
  ALICE collaboration,nucl-ex,hep-ex
  AMANDA Collaboration,hep-ph,astro-ph
  AMS Collaboration,astro-ph,hep-ex
  ANTARES Collaboration,astro-ph,astro-ph.HE
  ANTARES collaboration,astro-ph,astro-ph.IM
  ARIANNA Collaboration,astro-ph.IM,astro-ph.HE
  ATHENA Collaboration,nucl-ex,physics.ins-det
  Aakanksha,cs.LG,cs.AI
  Aakash,cond-mat.stat-mech,quant-ph
  Aalok,quant-ph,physics.gen-ph
  Abdullah,cs.CL,eess.IV
  Abdullah-Al-Mamun,cs.CE,cs.DB
  Abdurrouf,astro-ph.GA,cs.LG
  Abhishake,math.ST,stat.ML
  Abuthahir,cs.SY,cs.NI
  Aditi,cs.SE,cs.CL
  Ahmed,stat.ME,cs.LG
  Ahn,quant-ph,physics.med-ph
  Aishwaryaprajna,cs.NE,cs.MA
  Ajay,cond-mat.supr-con,cond-mat.mes-hall
  Akanksha,cs.CL,cs.IT
  Al-Mahmud,cs.CL,cs.CV
  Alexander,physics.app-ph,cs.LG
  Alimuddin,cond-mat.mtrl-sci,stat.ME
  Amanullah,math.GM,math.GR
  Amita,math.RA,math.RT
  Amitabh,astro-ph.EP,cs.CV
  Andonowati,physics.flu-dyn,math.OC
  André,astro-ph.IM,quant-ph
  Anita,cond-mat.mtrl-sci,hep-ex
  Anjali,math.RT,cs.OS
  Ankita,physics.bio-ph,quant-ph
  Ankur,hep-th,math.NA
  Anshika,math.OC,eess.SY
