year,num_papers,avg_authors,median_authors,p90_authors,p99_authors
2007,145502,2.3434866874682134,2,4,11
2008,69207,2.932998107127892,2,5,20
2009,228850,3.216456194013546,2,6,16
2010,56067,3.048620400592149,2,5,17
2011,61673,3.249298720671931,2,5,17
2012,57124,3.934983544569708,2,5,17
2013,71701,4.113987252618513,2,5,19
2014,87684,4.138041147757858,2,5,21
2015,214329,4.706619262908893,3,7,32
2016,132950,5.291477999247838,3,6,28
2017,121758,4.777944775702624,3,6,25
2018,134940,4.791485104490885,3,7,26
2019,153236,5.118875460074656,3,7,28
2020,173287,4.861818832341722,3,7,24
2021,184666,5.02283040732999,3,7,24
2022,187698,5.212319790301442,3,7,26
2023,214828,5.414838847822444,3,8,27
2024,262496,5.294015908813849,3,8,24
2025,296105,5.884466658786579,4,8,27
