author,first_year,last_year,active_span_years,paper_count
 Y. Zhang,2007,2025,18,3146
 Yang Liu,2007,2025,18,2440
 Y. Wang,2007,2025,18,2257
 J. Wang,2007,2025,18,2235
 Z. Wang,2007,2025,18,2037
 Y. Li,2007,2025,18,2006
 Wei Wang,2007,2025,18,2003
 Takashi Taniguchi,2007,2025,18,1862
 Lei Zhang,2007,2025,18,1818
 Y. Liu,2007,2025,18,1765
 Y. Gao,2007,2025,18,1687
 X. Liu,2007,2025,18,1684
 Wei Zhang,2007,2025,18,1620
 C. Li,2007,2025,18,1579
 J. Zhang,2007,2025,18,1513
 Z. Xu,2007,2025,18,1497
 L. Zhang,2007,2025,18,1494
 Yu Zhang,2007,2025,18,1491
 L. Sun,2007,2025,18,1462
 Xin Wang,2007,2025,18,1409
 Wei Chen,2007,2025,18,1401
 H. Liang,2007,2025,18,1361
 Lei Li,2007,2025,18,1338
 M. Wang,2007,2025,18,1327
 Z. Yang,2007,2025,18,1326
 G. Wilkinson,2007,2025,18,1290
 Feng Liu,2007,2025,18,1276
 X. Wang,2007,2025,18,1259
 Wei Li,2007,2025,18,1247
 Wei Liu,2007,2025,18,1234
 Yang Li,2007,2025,18,1230
 S. Zhang,2007,2025,18,1227
 Hao Wang,2007,2025,18,1225
 Yang Zhang,2007,2025,18,1217
 P. Krokovny,2007,2025,18,1200
 Yi Wang,2007,2025,18,1198
 X. Li,2007,2025,18,1184
 Y. Yang,2007,2025,18,1171
 Bo Li,2007,2025,18,1165
 M. Smith,2007,2025,18,1138
 Z. Y. Zhang,2007,2025,18,1133
 Jian Wang,2007,2025,18,1113
 Xi Chen,2007,2025,18,1112
 X. Zhou,2007,2025,18,1111
 Hao Chen,2007,2025,18,1109
 Hui Li,2007,2025,18,1099
 Lei Wang,2007,2025,18,1092
 Jun Zhang,2007,2025,18,1092
 Xiang Li,2007,2025,18,1088
 Xin Li,2007,2025,18,1081
 Yi Zhang,2007,2025,18,1067
 Jun Wang,2007,2025,18,1056
 C. Chen,2007,2025,18,1037
