cat_a,cat_b,pair_count
math-ph,math.MP,86194
cs.AI,cs.LG,63800
cs.LG,stat.ML,61947
cs.IT,math.IT,51575
gr-qc,hep-th,51293
cs.CV,cs.LG,41219
hep-ph,hep-th,34369
cs.SY,eess.SY,32463
cs.AI,cs.CL,31641
cs.NA,math.NA,28978
cs.AI,cs.CV,28077
hep-ph,nucl-th,28039
hep-ex,hep-ph,27278
math.ST,stat.TH,25970
cs.CL,cs.LG,24491
cs.CV,eess.IV,21723
cond-mat.mes-hall,cond-mat.mtrl-sci,19986
hep-th,math-ph,19507
hep-th,math.MP,19507
astro-ph.CO,gr-qc,19143
cs.SD,eess.AS,17079
astro-ph.CO,hep-ph,16221
gr-qc,hep-ph,14912
cond-mat.str-el,cond-mat.supr-con,14473
cond-mat.mes-hall,quant-ph,14180
astro-ph.CO,astro-ph.GA,13999
astro-ph.GA,astro-ph.SR,13931
math-ph,quant-ph,13008
math.MP,quant-ph,13008
astro-ph.CO,hep-th,12828
hep-th,quant-ph,12557
nucl-ex,nucl-th,12398
hep-lat,hep-ph,12310
cond-mat.mtrl-sci,cond-mat.str-el,12178
cond-mat.mes-hall,cond-mat.str-el,11129
cond-mat.soft,cond-mat.stat-mech,10876
cs.CR,cs.LG,10876
cond-mat.stat-mech,quant-ph,10826
physics.optics,quant-ph,10281
astro-ph.EP,astro-ph.SR,9980
cs.LG,math.OC,9484
cs.AI,cs.RO,9418
astro-ph,hep-ph,9310
cs.AI,stat.ML,9256
astro-ph,gr-qc,9250
cs.CV,cs.RO,9203
astro-ph.HE,gr-qc,9185
astro-ph.GA,astro-ph.HE,9016
cs.LG,eess.IV,9001
astro-ph.HE,astro-ph.SR,8794
math.AP,math.MP,8702
math-ph,math.AP,8701
cs.LG,cs.RO,8628
cond-mat.quant-gas,quant-ph,8466
cond-mat.dis-nn,cond-mat.stat-mech,8394
cs.SY,math.OC,8271
cond-mat.str-el,quant-ph,8255
hep-ph,nucl-ex,8021
cs.LG,eess.SP,7987
math.MP,math.PR,7825
math-ph,math.PR,7824
cs.IT,eess.SP,7761
eess.SP,math.IT,7761
physics.atom-ph,quant-ph,7746
cs.LG,cs.NE,7745
cs.SI,physics.soc-ph,7689
hep-ex,nucl-ex,7611
astro-ph.HE,hep-ph,7369
math.AG,math.NT,7303
hep-lat,hep-th,7268
cs.DM,math.CO,7199
hep-ex,physics.ins-det,7133
cond-mat.mes-hall,cond-mat.supr-con,7110
astro-ph.CO,astro-ph.HE,7035
gr-qc,math-ph,6880
gr-qc,math.MP,6880
cs.IR,cs.LG,6653
cond-mat.stat-mech,math-ph,6642
cond-mat.stat-mech,math.MP,6642
cs.CL,cs.CV,6525
cond-mat.stat-mech,hep-th,6437
cond-mat.str-el,hep-th,6426
cond-mat.stat-mech,cond-mat.str-el,6407
astro-ph,hep-th,6357
gr-qc,quant-ph,6327
cs.AI,cs.HC,6198
cs.CV,stat.ML,6194
math.AP,math.DG,6148
cs.LG,eess.AS,6120
cond-mat.mes-hall,physics.optics,6084
cs.AI,cs.CY,5994
math-ph,nlin.SI,5952
math.MP,nlin.SI,5952
cs.CL,cs.IR,5938
cs.LG,cs.SD,5937
physics.app-ph,physics.optics,5726
cs.RO,cs.SY,5706
econ.GN,q-fin.EC,5676
cond-mat.mtrl-sci,physics.app-ph,5640
eess.SY,math.OC,5578
cs.LG,cs.SY,5564
