primary_category,y_min,y_max,c_start,c_end,pct_change
stat.ML,2007,2025,9,2496,27633.33
cs.CV,2007,2025,107,26424,24595.33
cs.SD,2007,2025,10,1865,18550.00
cs.LG,2007,2025,173,25741,14779.19
eess.IV,2017,2025,26,2971,11326.92
eess.AS,2017,2025,23,1439,6156.52
cs.RO,2007,2025,146,8055,5417.12
stat.ME,2007,2025,70,3806,5337.14
cs.SI,2010,2025,25,1095,4280.00
stat.CO,2007,2025,10,393,3830.00
cs.HC,2007,2025,106,4110,3777.36
cs.CL,2007,2025,458,17102,3634.06
cs.GR,2007,2025,28,977,3389.29
econ.EM,2017,2025,25,826,3204.00
econ.TH,2018,2025,27,689,2451.85
stat.AP,2007,2025,47,1139,2323.40
cs.ET,2011,2025,17,383,2152.94
cs.IR,2007,2025,116,2500,2055.17
cs.SE,2007,2025,176,3717,2011.93
cs.AR,2007,2025,47,978,1980.85
eess.SP,2017,2025,200,3870,1835.00
cs.CR,2007,2025,291,5486,1785.22
cs.MM,2007,2025,20,344,1620.00
cs.CY,2007,2025,157,2450,1460.51
econ.GN,2018,2025,75,1061,1314.67
cs.MA,2007,2025,55,736,1238.18
cs.AI,2007,2025,561,7504,1237.61
cs.GT,2007,2025,95,1090,1047.37
math.OC,2007,2025,504,4912,874.60
q-fin.RM,2008,2025,18,173,861.11
astro-ph.EP,2009,2025,217,2076,856.68
astro-ph.GA,2009,2025,490,4631,845.10
math.NA,2007,2025,441,4033,814.51
q-fin.CP,2008,2025,21,181,761.90
stat.OT,2010,2025,10,82,720.00
cond-mat.quant-gas,2009,2025,161,1080,570.81
q-fin.TR,2008,2025,21,139,561.90
astro-ph.HE,2009,2025,595,3858,548.40
eess.SY,2019,2025,663,4059,512.22
cs.CE,2007,2025,152,914,501.32
cs.DC,2007,2025,340,2034,498.24
q-fin.MF,2014,2025,39,232,494.87
cs.OS,2007,2025,17,99,482.35
q-fin.PM,2008,2025,23,131,469.57
astro-ph.IM,2009,2025,275,1506,447.64
cs.NE,2007,2025,153,807,427.45
cs.NI,2007,2025,348,1770,408.62
physics.flu-dyn,2007,2025,471,2363,401.70
cs.FL,2009,2025,59,294,398.31
cs.DS,2007,2025,318,1579,396.54
q-bio.NC,2007,2025,198,906,357.58
physics.optics,2007,2025,774,3486,350.39
physics.med-ph,2007,2025,164,728,343.90
cs.PF,2007,2025,41,170,314.63
cs.DB,2007,2025,225,928,312.44
q-bio.QM,2007,2025,173,706,308.09
physics.chem-ph,2007,2025,395,1422,260.00
physics.ins-det,2007,2025,328,1120,241.46
astro-ph.SR,2009,2025,784,2532,222.96
cs.LO,2007,2025,371,1124,202.96
cs.DL,2007,2025,116,351,202.59
math.AP,2007,2025,1849,5460,195.29
astro-ph.CO,2009,2025,1087,3187,193.19
physics.soc-ph,2007,2025,400,1142,185.50
physics.comp-ph,2007,2025,278,790,184.17
physics.geo-ph,2007,2025,182,503,176.37
physics.ao-ph,2007,2025,194,528,172.16
cs.IT,2007,2025,867,2315,167.01
q-fin.ST,2008,2025,75,197,162.67
physics.space-ph,2007,2025,63,159,152.38
cs.PL,2007,2025,227,562,147.58
cs.CG,2007,2025,167,409,144.91
q-bio.OT,2007,2025,50,118,136.00
physics.plasm-ph,2007,2025,493,1078,118.66
cs.MS,2007,2025,36,78,116.67
physics.app-ph,2017,2025,426,907,112.91
math.CT,2007,2025,271,544,100.74
cs.DM,2007,2025,172,331,92.44
q-fin.GN,2008,2025,52,98,88.46
math.ST,2007,2025,812,1471,81.16
math.CO,2007,2025,2852,5104,78.96
math.LO,2007,2025,608,1064,75.00
cs.SC,2007,2025,60,104,73.33
cond-mat.mtrl-sci,2007,2025,3369,5742,70.44
q-bio.TO,2007,2025,60,102,70.00
q-bio.PE,2007,2025,366,599,63.66
cs.CC,2007,2025,311,490,57.56
