primary_category,y_min,y_max,c_start,c_end,pct_change
stat.ML,2007,2025,9,2496,27633.33
cs.CV,2007,2025,107,26424,24595.33
cs.SD,2007,2025,10,1865,18550.00
cs.LG,2007,2025,173,25741,14779.19
eess.IV,2017,2025,26,2971,11326.92
eess.AS,2017,2025,23,1439,6156.52
cs.RO,2007,2025,146,8055,5417.12
stat.ME,2007,2025,70,3806,5337.14
cs.SI,2010,2025,25,1095,4280.00
stat.CO,2007,2025,10,393,3830.00
cs.HC,2007,2025,106,4110,3777.36
cs.CL,2007,2025,458,17102,3634.06
cs.GR,2007,2025,28,977,3389.29
econ.EM,2017,2025,25,826,3204.00
econ.TH,2018,2025,27,689,2451.85
stat.AP,2007,2025,47,1139,2323.40
cs.ET,2011,2025,17,383,2152.94
cs.IR,2007,2025,116,2500,2055.17
cs.SE,2007,2025,176,3717,2011.93
cs.AR,2007,2025,47,978,1980.85
