author,first_year,last_year,active_span_years,paper_count
 William Bialek,2007,2025,18,10
 Vladislav V. Kravchenko,2007,2025,18,5
 Hiroshi Shibai,2007,2025,18,5
 Dhananjay P. Mehendale,2007,2025,18,4
 B. C. Sanctuary,2007,2025,18,3
 Youssef Alaoui,2007,2025,18,2
 Daniel Tanré,2007,2025,18,2
 Wolfhard Janke,2007,2024,17,22
 Michael Bachmann,2007,2024,17,19
 E. Passos,2007,2024,17,7
 D. G. C. McKeon,2007,2024,17,6
 Soojong Pak,2008,2025,17,6
 Grenville J. Croll,2007,2024,17,6
 M. G. Cosenza,2007,2024,17,5
 Roderich Tumulka,2007,2024,17,5
 Richard J. Mathar,2007,2024,17,5
 Shin-ichi Sasa,2008,2025,17,5
 Lev Birbrair,2007,2024,17,4
 Alan Kostelecky,2008,2025,17,4
 Christoph Junghans,2007,2024,17,4
 Vikram H. Zaveri,2008,2025,17,4
ASTRINSTSAV  Metod Saniga,2007,2024,17,3
Univ. Siegen  Th. Feldmann,2008,2025,17,3
TUW  Hans Havlicek,2007,2024,17,3
 Faycal Ben Adda,2007,2024,17,3
 Neil Russell,2008,2025,17,3
 Greg J. Stephens,2008,2025,17,2
 S. Ishikawa,2008,2025,17,2
 Takao Nakagawa,2009,2025,16,11
 Toshinobu Takagi,2009,2025,16,10
 Hideo Matsuhara,2009,2025,16,9
 Hyung Mok Lee,2009,2025,16,8
 Chris P. Pearson,2009,2025,16,8
 G. Stasinska,2007,2023,16,6
 Falk Bruckmann,2008,2024,16,6
 Woong-Seob Jeong,2009,2025,16,6
 Stephen Serjeant,2009,2025,16,5
 Yi Yang,2007,2023,16,5
 Sergei Silvestrov,2007,2023,16,5
 Qi-Shu Yan,2007,2023,16,5
 Jon A. Wellner,2007,2023,16,4
 V. M. Eguiluz,2008,2024,16,4
 Michael Rowan-Robinson,2009,2025,16,4
 B. Mehlig,2009,2025,16,4
 M. San Miguel,2008,2024,16,4
 Tilo Wettig,2008,2024,16,4
 David Chadwick,2008,2024,16,3
 Thomas Krainer,2007,2023,16,3
 Glenn J. White,2009,2025,16,3
 Yong-Sun Park,2009,2025,16,3
 Jungjoo Sohn,2009,2025,16,3
 J. Frenkel,2008,2024,16,2
 Marco Panero,2008,2024,16,2
 L. D. Marks,2009,2025,16,2
 Saharon Shelah,2007,2022,15,21
 Young-Wook Lee,2007,2022,15,19
 Kerry M. Soileau,2007,2022,15,10
 David Nualart,2007,2022,15,7
 Serge Reynaud,2008,2023,15,7
 Roland Bouffanais,2007,2022,15,7
 Kiran S. Kedlaya,2007,2022,15,6
 Song He,2008,2023,15,6
 Michel O. Deville,2007,2022,15,6
 Maxim A. Yurkin,2007,2022,15,5
 Alfons G. Hoekstra,2007,2022,15,5
 Lutz Duembgen,2008,2023,15,5
 Valeri P. Maltsev,2007,2022,15,4
 Marek Zawadowski,2008,2023,15,4
 A. Ali,2007,2022,15,4
 Michael S. Kelley,2009,2024,15,4
 Yann Bugeaud,2008,2023,15,4
 Simon Murphy,2009,2024,15,3
 Hong-Van Le,2008,2023,15,3
 Ben Webster,2007,2022,15,3
 Anirban Pathak,2007,2022,15,3
 Jean-Christophe Pain,2007,2022,15,3
 William T. Reach,2009,2024,15,3
 Peter Spreij,2008,2023,15,3
 Chandru Iyer,2007,2022,15,3
 Emmanuel Leriche,2007,2022,15,3
FEMTO-ST  Michel Planat,2009,2024,15,3
 S. I. Kruglov,2008,2023,15,3
 Victor M. Yakovenko,2008,2023,15,3
 Adrian Vasiu,2008,2023,15,3
 Marc-Thierry Jaekel,2008,2023,15,3
 Richard Cleve,2007,2022,15,2
 Eric Jaligot,2007,2022,15,2
 D. Price,2009,2024,15,2
 Tomaž Košir,2008,2023,15,2
 X. Tang,2007,2022,15,2
 Veronique Hussin,2008,2023,15,2
 Andrzej Królak,2008,2023,15,2
 G. M. Prabhu,2007,2022,15,2
 Chenchang Zhu,2009,2024,15,2
 Piotr Jaranowski,2008,2023,15,2
 Brahim Lamine,2008,2023,15,2
 Vito D. P. Servedio,2007,2022,15,2
 R. Michael Rich,2008,2022,14,25
 Barry F. Madore,2008,2022,14,18
 Timothy M. Heckman,2008,2022,14,17
 Sukyoung K. Yi,2008,2022,14,16
 Luciana Bianchi,2008,2022,14,15
 D. Christopher Martin,2008,2022,14,15
 Mark Seibert,2008,2022,14,15
 David Schiminovich,2008,2022,14,15
 Bruno Milliard,2008,2022,14,14
 Peter G. Friedman,2008,2022,14,14
 Vladimir Nikiforov,2007,2021,14,14
 Susan G. Neff,2008,2022,14,14
 Barry Y. Welsh,2008,2022,14,13
 Jose Donas,2008,2022,14,13
 Patrick Morrissey,2008,2022,14,13
 Alex S. Szalay,2008,2022,14,13
 Satya N. Majumdar,2008,2022,14,13
 Karl Forster,2008,2022,14,12
 Todd Small,2008,2022,14,12
 Philippe G. LeFloch,2007,2021,14,12
 Ted K. Wyder,2008,2022,14,11
 Aldo Conca,2007,2021,14,7
 Benjamin Weiss,2008,2022,14,7
 Artur O. Lopes,2007,2021,14,7
 H. -J. Kluge,2008,2022,14,6
 Kurusch Ebrahimi-Fard,2007,2021,14,5
 Marko A. Rodriguez,2007,2021,14,5
 J. S. Milne,2007,2021,14,5
 Jaap-Henk Hoepman,2007,2021,14,5
 Alexandre Eremenko,2007,2021,14,5
 C. Kozhuharov,2008,2022,14,5
 Neal Weiner,2008,2022,14,4
 Italo J. Dejter,2007,2021,14,4
 M. S. N. Kumar,2008,2022,14,4
 D. F. A. Winters,2008,2022,14,4
 K. Blaum,2008,2022,14,4
 Jeremy Lovejoy,2007,2021,14,4
 V. K. Dobrev,2007,2021,14,4
 F. Herfurth,2008,2022,14,4
 K. I. Caputi,2009,2023,14,3
 Tim Roemer,2007,2021,14,3
 Eberhard Mayerhofer,2007,2021,14,3
 Alain Comtet,2008,2022,14,3
 Pavel Tumarkin,2008,2022,14,3
 Emilio Santos,2007,2021,14,3
 Pramod K. Sharma,2007,2021,14,3
 Marcel de Jeu,2009,2023,14,3
 Christian Svensson,2009,2023,14,3
 Sanjib Sabhapandit,2008,2022,14,3
 Henryk Gzyl,2007,2021,14,3
 Shizuo Kaji,2007,2021,14,3
 M. Vogel,2008,2022,14,3
 Anna Felikson,2008,2022,14,3
 Susanne Pumpluen,2007,2021,14,2
 Enrique ter Horst,2007,2021,14,2
 Giovanni Forni,2007,2021,14,2
 Hanqing Jin,2008,2022,14,2
 David Tucker-Smith,2008,2022,14,2
 Tobias Berger,2010,2024,14,2
 V. S. Varadarajan,2007,2021,14,2
 W. H. Matthaeus,2008,2022,14,2
 Paolo Liberatore,2007,2021,14,2
 Mei Huang,2009,2023,14,2
 O. Kester,2008,2022,14,2
 Boris Kunyavskii,2008,2022,14,2
 Kerry Michael Soileau,2008,2022,14,2
 Birgit Richter,2008,2022,14,2
 K. Werner,2007,2020,13,12
 Tom A. Barlow,2009,2022,13,12
 B. Zhang,2007,2020,13,10
 Remco van der Hofstad,2007,2020,13,10
 J. -F. Donati,2007,2020,13,9
 A. Herrero,2007,2020,13,8
 G. Zhao,2007,2020,13,8
 D. Bettoni,2007,2020,13,7
 V. M. Kaspi,2007,2020,13,7
 G. Rauw,2007,2020,13,7
 Daniel Lenz,2007,2020,13,7
 Chengming Bai,2007,2020,13,6
 Tamas Budavari,2009,2022,13,6
 W. Quint,2009,2022,13,5
 Christian Haase,2007,2020,13,5
 J. Gegelia,2008,2021,13,5
 H. Sana,2007,2020,13,5
 A. D. Alhaidari,2009,2022,13,5
 Angelo Vulpiani,2007,2020,13,5
 L. Bianchi,2007,2020,13,5
 Fan Wang,2007,2020,13,5
 A. Buzzoni,2007,2020,13,5
 Alberto S. Cattaneo,2007,2020,13,4
 S. Scherer,2008,2021,13,4
 R. J. Hendricks,2009,2022,13,4
 A. Yu. Savin,2007,2020,13,4
 B. Yu. Sternin,2007,2020,13,4
 Nathan Broaddus,2007,2020,13,4
 Stephane Arnouts,2009,2022,13,4
 V. E. Nazaikinskii,2007,2020,13,4
ISMANS  A. Le Méhauté,2007,2020,13,4
 R. C. Thompson,2009,2022,13,4
 K. Ziegler,2009,2022,13,4
 S. Scuderi,2007,2020,13,3
 N. Shitsevalova,2007,2020,13,3
 Joan S. Birman,2007,2020,13,3
 Tim Conrow,2009,2022,13,3
 D. M. Segal,2009,2022,13,3
 Luigi Accardi,2007,2020,13,3
 George I. Bell,2007,2020,13,3
 K. Munakata,2007,2020,13,3
 Frank Nielsen,2007,2020,13,3
 Stephane Ouvry,2009,2022,13,3
 M. A. Shay,2009,2022,13,3
 D. Djukanovic,2008,2021,13,3
 Ganna Kudryavtseva,2010,2023,13,3
 Alvio Renzini,2007,2020,13,3
PUC-Chile  M. Catelan,2007,2020,13,3
 A. Greve,2007,2020,13,3
 Yuri Martinez-Raton,2009,2022,13,3
 Giorgio Cinacchi,2009,2022,13,3
 Johan Bollen,2008,2021,13,3
 Uzi Landman,2008,2021,13,3
 E. Santava,2007,2020,13,3
 Alberto Bernacchia,2007,2020,13,3
 Maria Deijfen,2007,2020,13,3
 K. Flachbart,2007,2020,13,3
 Richard Nock,2007,2020,13,3
 C. Kato,2007,2020,13,3
 Ilya Zaliapin,2007,2020,13,3
 S. Yasue,2007,2020,13,3
 Kenichi Bannai,2007,2020,13,3
 I. Pagano,2007,2020,13,3
 Mohammad Sal Moslehian,2008,2021,13,3
 Constantine Yannouleas,2008,2021,13,3
 Bart Jacobs,2008,2021,13,3
 Charles R. Johnson,2007,2020,13,2
 Tao Zhang,2009,2022,13,2
 Winfried Bruns,2008,2021,13,2
 Gianluca Cassese,2008,2021,13,2
 Serhiy E. Samokhvalov,2007,2020,13,2
 Weizhu Bao,2007,2020,13,2
 Yosef Rinott,2009,2022,13,2
 Alberto Pepe,2008,2021,13,2
 M. Cosentino Lagomarsino,2007,2020,13,2
 David Angeli,2007,2020,13,2
 Shinichi Kobayashi,2007,2020,13,2
 W. Noertershaeuser,2009,2022,13,2
 P. A. Cassak,2009,2022,13,2
LAOG  Pierre Kern,2007,2020,13,2
 Zhe Wang,2007,2020,13,2
 Joachim Puls,2007,2020,13,2
 Adam Skalski,2008,2021,13,2
 Oliver Kern,2008,2021,13,2
 Tomoyuki Arakawa,2011,2024,13,2
 J. C. Gonzalez-Avella,2011,2024,13,2
 S. Udry,2007,2019,12,26
 T. Wiegelmann,2008,2020,12,18
 D. A. Williams,2007,2019,12,16
 H. Eugene Stanley,2007,2019,12,15
 K. Abe,2007,2019,12,13
 E. Athanassoula,2007,2019,12,13
 R. Landi,2007,2019,12,13
 Igor E. Shparlinski,2007,2019,12,12
  .,2007,2019,12,10
 Choon-Lin Ho,2007,2019,12,10
 Ramazan Sever,2007,2019,12,10
 H. Beuther,2007,2019,12,10
 Vladimir Vovk,2007,2019,12,10
 A. K. Geim,2007,2019,12,10
 Marius Buliga,2007,2019,12,9
 Akhlesh Lakhtakia,2007,2019,12,9
 H. Krawczynski,2007,2019,12,9
