year,author_a,author_b,n_coauthored
2007,IRCCyN  Damien Chablat,IRCCyN  Philippe Wenger,59
2007,CIM  Jorge Angeles,IRCCyN  Damien Chablat,13
2007,  The BABAR Collaboration, B. Aubert,13
2007, Matthias R. Brust, Steffen Rothkugel,10
2007, C. Denson Hill, Mauro Nacinovich,9
2007,CPMOH  Brahim Lounis,CPMOH  Laurent Cognet,9
2007,LMP  Laurent Pizzagalli,LMP  Pierre Beauchamp,8
2007,DCPR  Frédérique Battin-Leclerc,DCPR  Pierre-Alexandre Glaude,8
2007,IRCCyN  Damien Chablat,IRCCyN  Mazen Zein,8
2007, D. Volchenkov, Ph. Blanchard,8
2007,IRCCyN  Mazen Zein,IRCCyN  Philippe Wenger,8
2007,DCPR  Frédérique Battin-Leclerc,DCPR  René Fournet,8
2007,  The Belle Collaboration, K. Abe,7
2007,TIMC - IMAG  Jacques Demongeot,TIMC - IMAG  Yohan Payan,7
2007, Tewodros Amdeberhan, Victor H. Moll,7
2007,TIMC - IMAG  Nicolas Vuillerme,TIMC - IMAG  Olivier Chenu,7
2007,TIMC - IMAG  Nicolas Vuillerme,TIMC - IMAG  Yohan Payan,7
2007, E. Candelario-Jalil, O. S. Leon,7
2007, Oleg Makarenkov, Paolo Nistri,7
2007,TIMC - IMAG  Olivier Chenu,TIMC - IMAG  Yohan Payan,7
2007,IRCCyN  Damien Chablat,IRCCyN  Félix Majou,7
2007,IRCCyN  Félix Majou,IRCCyN  Philippe Wenger,7
2007,IRCCyN  Damien Chablat,IRCCyN  Maher Baili,6
2007, Aleksandar Lazarevic, Lionel Sacks,6
2007, Adolfo Avella, Ferdinando Mancini,6
2007, Michael Bachmann, Wolfhard Janke,6
2007, O. Krupych, R. Vlokh,6
2007, O. Mys, R. Vlokh,6
2007,I3S  Philippe Collard,I3S  Sébastien Verel,6
2007,TIMC - IMAG  Jacques Demongeot,TIMC - IMAG  Nicolas Vuillerme,6
2007,IRCCyN  Maher Baili,IRCCyN  Philippe Wenger,6
2007,I3S  Manuel Clergue,I3S  Philippe Collard,6
2007, Guanrong Chen, Zhisheng Duan,6
2007,DCPR  Pierre-Alexandre Glaude,DCPR  René Fournet,6
2007,TIMC - IMAG  Jacques Demongeot,TIMC - IMAG  Olivier Chenu,6
2007, Igor Chilingarian, Ivan Zolotukhin,5
2007,CPMOH  Brahim Lounis,PCS  Daniel Choquet,5
