cat_a,cat_b,pair_count
math-ph,math.MP,2165
gr-qc,hep-th,1186
astro-ph,gr-qc,953
hep-ph,hep-th,935
astro-ph,hep-th,795
astro-ph,hep-ph,746
cs.IT,math.IT,676
math.ST,stat.TH,493
hep-ph,nucl-th,489
hep-th,math-ph,447
hep-th,math.MP,447
cond-mat.str-el,cond-mat.supr-con,407
gr-qc,hep-ph,383
cond-mat.soft,cond-mat.stat-mech,379
hep-ex,hep-ph,374
cond-mat.mtrl-sci,cond-mat.str-el,312
cond-mat.mes-hall,cond-mat.str-el,272
cond-mat.mes-hall,cond-mat.mtrl-sci,269
cond-mat.dis-nn,cond-mat.stat-mech,248
hep-th,quant-ph,245
hep-lat,hep-ph,238
math-ph,quant-ph,209
math.MP,quant-ph,209
nucl-ex,nucl-th,197
cond-mat.mtrl-sci,cond-mat.other,188
hep-lat,hep-th,178
math.AG,math.NT,172
math-ph,math.AP,171
math.AP,math.MP,171
cond-mat.other,quant-ph,166
cond-mat.mes-hall,quant-ph,150
math.AP,math.DG,147
cond-mat.mes-hall,cond-mat.supr-con,146
math-ph,math.PR,143
math.MP,math.PR,143
math.AC,math.AG,142
math-ph,nlin.SI,141
math.MP,nlin.SI,141
cond-mat.mtrl-sci,cond-mat.soft,136
hep-ph,nucl-ex,136
cond-mat.stat-mech,math-ph,133
cond-mat.stat-mech,math.MP,133
cond-mat.stat-mech,hep-th,131
cond-mat.stat-mech,quant-ph,131
math-ph,math.DG,128
math.DG,math.MP,128
cond-mat.stat-mech,cond-mat.str-el,127
gr-qc,math-ph,124
gr-qc,math.MP,124
cond-mat.mtrl-sci,cond-mat.stat-mech,120
astro-ph,nucl-th,119
math.QA,math.RT,110
physics.data-an,physics.soc-ph,110
math.PR,math.ST,108
math.PR,stat.TH,108
math-ph,math.QA,105
math.MP,math.QA,105
cond-mat.other,cond-mat.stat-mech,100
math.CO,math.NT,98
math-ph,math.SP,97
math.MP,math.SP,97
gr-qc,quant-ph,92
hep-th,nucl-th,92
hep-th,math.QA,91
math.CO,math.PR,90
math.AG,math.RT,89
math.FA,math.OA,88
math.GR,math.GT,88
math.RA,math.RT,87
cond-mat.dis-nn,cond-mat.mes-hall,86
math.AG,math.CV,80
math.AG,math.CO,77
math.CO,math.RT,76
cond-mat.str-el,quant-ph,75
hep-lat,nucl-th,75
cond-mat.dis-nn,cond-mat.mtrl-sci,74
cond-mat.mes-hall,cond-mat.other,74
hep-ex,nucl-th,73
hep-th,nlin.SI,71
hep-th,math.DG,67
math.AT,math.GT,66
physics.soc-ph,q-fin.ST,64
cond-mat.stat-mech,physics.soc-ph,63
hep-ex,nucl-ex,63
math.CV,math.DG,61
math.ST,stat.ME,61
stat.ME,stat.TH,61
cond-mat.mtrl-sci,cond-mat.supr-con,59
cs.DM,math.CO,59
math-ph,math.DS,59
math.DS,math.MP,59
astro-ph,hep-ex,57
hep-th,math.AG,57
cond-mat.other,cond-mat.str-el,55
cond-mat.str-el,hep-th,55
math.QA,math.RA,54
math-ph,math.RT,53
math.AC,math.CO,53
math.AG,math.AT,53
math.AG,math.DG,53
math.MP,math.RT,53
cond-mat.mes-hall,cond-mat.stat-mech,52
math.DG,math.GT,52
math.DG,math.SG,52
cond-mat.dis-nn,cond-mat.soft,51
cond-mat.other,hep-th,50
physics.atom-ph,physics.optics,50
physics.atom-ph,quant-ph,50
math.GR,math.RT,49
math.DS,math.NT,48
math.GT,math.SG,48
cond-mat.stat-mech,nlin.CD,46
math.AG,math.QA,46
math.CA,math.FA,46
physics.atom-ph,physics.chem-ph,46
physics.class-ph,physics.gen-ph,46
gr-qc,math.DG,45
math-ph,math.CO,45
math.CO,math.MP,45
physics.soc-ph,q-fin.GN,45
math.AP,math.FA,44
math.OC,math.PR,44
astro-ph,physics.plasm-ph,43
cond-mat.mes-hall,hep-th,43
math-ph,math.CA,42
math.CA,math.MP,42
physics.optics,quant-ph,42
cond-mat.dis-nn,cond-mat.str-el,41
cond-mat.other,cond-mat.supr-con,40
math.CV,math.DS,40
stat.AP,stat.ME,40
cond-mat.other,cond-mat.soft,39
cond-mat.stat-mech,cond-mat.supr-con,38
cond-mat.stat-mech,physics.bio-ph,38
cs.CC,cs.DM,38
cs.DM,cs.DS,38
math.AG,math.SG,38
physics.gen-ph,physics.optics,38
cond-mat.soft,physics.bio-ph,37
math.AP,math.PR,37
math.CO,math.GR,37
physics.bio-ph,physics.chem-ph,37
cs.IT,math.PR,36
math-ph,math.AG,36
math.AG,math.GT,36
math.AG,math.MP,36
math.DS,math.PR,36
math.IT,math.PR,36
astro-ph,nucl-ex,35
astro-ph,physics.space-ph,35
cond-mat.dis-nn,physics.soc-ph,34
cond-mat.stat-mech,math.PR,34
hep-ph,quant-ph,34
math.AP,math.CA,34
math.AT,math.KT,34
math.CV,math.FA,34
math.NT,math.RT,34
math.GR,math.RA,33
physics.comp-ph,physics.soc-ph,33
cond-mat.soft,q-bio.BM,32
cs.AI,cs.NE,32
hep-th,math.RT,32
math-ph,math.FA,32
math-ph,math.SG,32
math.AP,math.CV,32
math.CO,math.MG,32
math.DG,math.DS,32
math.FA,math.MP,32
math.KT,math.OA,32
math.MP,math.SG,32
nlin.CD,quant-ph,32
physics.chem-ph,physics.comp-ph,32
cs.CC,cs.DS,31
math.AP,math.SP,31
math.CO,math.GT,31
math.FA,math.PR,31
math.GT,math.QA,31
nlin.CD,physics.flu-dyn,31
cond-mat.other,math-ph,30
cond-mat.other,math.MP,30
math.CA,math.DS,30
math.CO,math.RA,30
math.FA,math.SP,30
physics.class-ph,physics.optics,30
q-bio.MN,q-bio.QM,30
cond-mat.stat-mech,hep-lat,29
cond-mat.supr-con,quant-ph,29
math.CA,math.CV,29
physics.data-an,q-fin.ST,29
astro-ph,cond-mat.stat-mech,28
astro-ph,quant-ph,28
cond-mat.dis-nn,cond-mat.other,28
cond-mat.stat-mech,q-bio.PE,28
hep-ph,math-ph,28
hep-ph,math.MP,28
math.AC,math.RA,28
math.AT,math.CT,28
physics.ao-ph,physics.flu-dyn,28
cond-mat.other,physics.optics,27
cs.CC,cs.LO,27
