primary_category,y_min,y_max,c_start,c_end,pct_change
physics.space-ph,2007,2015,2,5,150.00
cond-mat.quant-gas,2009,2013,1,1,0.00
cs.FL,2010,2010,1,1,0.00
cs.SD,2015,2015,1,1,0.00
nucl-ex,2007,2019,68,48,-29.41
cs.CY,2007,2024,18,12,-33.33
cs.GR,2007,2008,5,3,-40.00
cs.SE,2007,2024,15,8,-46.67
cs.OS,2007,2021,2,1,-50.00
cs.NA,2007,2009,6,3,-50.00
physics.ao-ph,2007,2020,10,5,-50.00
cs.GL,2007,2008,2,1,-50.00
cs.SC,2007,2015,2,1,-50.00
physics.pop-ph,2007,2015,13,4,-69.23
cs.PF,2007,2011,10,3,-70.00
stat.ML,2007,2017,9,2,-77.78
cs.MM,2007,2012,5,1,-80.00
cs.MA,2007,2016,5,1,-80.00
cs.MS,2007,2010,5,1,-80.00
q-fin.CP,2008,2010,5,1,-80.00
q-bio.SC,2007,2011,13,2,-84.62
physics.ins-det,2007,2019,41,6,-85.37
q-bio.TO,2007,2009,14,2,-85.71
physics.acc-ph,2007,2019,16,2,-87.50
q-fin.RM,2008,2016,8,1,-87.50
cs.IR,2007,2016,17,2,-88.24
physics.atm-clus,2007,2016,9,1,-88.89
stat.CO,2007,2017,10,1,-90.00
q-fin.TR,2008,2012,10,1,-90.00
q-bio.OT,2007,2016,11,1,-90.91
cs.DL,2007,2021,11,1,-90.91
cs.DS,2007,2016,58,5,-91.38
q-fin.PM,2008,2022,13,1,-92.31
q-fin.GN,2008,2016,26,2,-92.31
physics.comp-ph,2007,2017,28,2,-92.86
nlin.CG,2007,2019,14,1,-92.86
q-bio.CB,2007,2015,14,1,-92.86
cs.AR,2007,2017,14,1,-92.86
physics.hist-ph,2007,2017,29,2,-93.10
cs.LO,2007,2019,44,3,-93.18
stat.AP,2007,2020,47,3,-93.62
math.KT,2007,2022,32,2,-93.75
q-bio.MN,2007,2019,33,2,-93.94
cs.NE,2007,2019,33,2,-93.94
cs.DB,2007,2016,34,2,-94.12
cs.CR,2007,2021,35,2,-94.29
stat.ME,2007,2017,70,4,-94.29
hep-lat,2007,2024,19,1,-94.74
cs.HC,2007,2024,41,2,-95.12
math.GM,2007,2025,67,3,-95.52
math.LO,2007,2022,70,3,-95.71
cs.CG,2007,2020,24,1,-95.83
nlin.AO,2007,2015,24,1,-95.83
cs.CE,2007,2022,24,1,-95.83
q-fin.PR,2008,2020,24,1,-95.83
cs.DC,2007,2016,49,2,-95.92
math.GN,2007,2018,25,1,-96.00
physics.ed-ph,2007,2017,26,1,-96.15
cs.CV,2007,2018,27,1,-96.30
cs.CC,2007,2022,28,1,-96.43
cs.LG,2007,2021,28,1,-96.43
q-bio.NC,2007,2025,30,1,-96.67
q-bio.GN,2007,2021,30,1,-96.67
cs.PL,2007,2024,30,1,-96.67
cs.AI,2007,2021,60,2,-96.67
cs.GT,2007,2016,30,1,-96.67
math.SP,2007,2019,60,2,-96.67
nlin.PS,2007,2017,32,1,-96.88
physics.med-ph,2007,2015,33,1,-96.97
cs.CL,2007,2020,35,1,-97.14
math.CT,2007,2018,36,1,-97.22
q-fin.ST,2008,2023,37,1,-97.30
physics.geo-ph,2007,2019,39,1,-97.44
physics.data-an,2007,2023,39,1,-97.44
math.HO,2007,2022,39,1,-97.44
nlin.SI,2007,2017,39,1,-97.44
math.OA,2007,2025,118,3,-97.46
physics.plasm-ph,2007,2022,42,1,-97.62
q-bio.BM,2007,2019,45,1,-97.78
q-bio.QM,2007,2023,46,1,-97.83
math.SG,2007,2022,47,1,-97.87
physics.gen-ph,2007,2025,189,4,-97.88
physics.chem-ph,2007,2017,50,1,-98.00
gr-qc,2007,2023,202,4,-98.02
physics.atom-ph,2007,2022,54,1,-98.15
math.MG,2007,2024,57,1,-98.25
physics.bio-ph,2007,2016,58,1,-98.28
physics.optics,2007,2022,123,2,-98.37
nlin.CD,2007,2020,62,1,-98.39
math.ST,2007,2023,127,2,-98.43
cond-mat.dis-nn,2007,2018,66,1,-98.48
