column,non_null,non_null_pct
arxiv_id,1,100.0
title,1,100.0
abstract,1,100.0
categories,1,100.0
doi,1,100.0
journal_ref,1,100.0
comments,1,100.0
submitter,1,100.0
update_date,1,100.0
versions,1,100.0
authors,1,100.0
authors_parsed,1,100.0
title_clean,1,100.0
abstract_clean,1,100.0
title_lower,1,100.0
abstract_lower,1,100.0
primary_category,1,100.0
category_list,1,100.0
authors_list,1,100.0
abstract_len,1,100.0
title_len,1,100.0
n_authors,1,100.0
n_categories,1,100.0
has_doi,1,100.0
year,1,100.0
