test_id,rank,neighbor_id,neighbor_paper_id,score,neighbor_categories
0705.0921,1,0709.2275,0709.2275,0.9999975906121952,astro-ph
0705.0921,2,0710.5764,0710.5764,0.9999975906121952,cond-mat.soft cond-mat.mtrl-sci
0705.0921,3,0802.0027,0802.0027,0.9999975906121952,hep-th
0708.3211,1,0704.0171,0704.0171,1.0,astro-ph
0708.3211,2,0704.0172,0704.0172,1.0,cond-mat.mes-hall cond-mat.str-el
0708.3211,3,0704.0345,0704.0345,1.0,physics.soc-ph
0712.0984,1,0704.0171,0704.0171,1.0,astro-ph
0712.0984,2,0704.0172,0704.0172,1.0,cond-mat.mes-hall cond-mat.str-el
0712.0984,3,0704.0345,0704.0345,1.0,physics.soc-ph
0712.2555,1,0704.0171,0704.0171,1.0,astro-ph
0712.2555,2,0704.0172,0704.0172,1.0,cond-mat.mes-hall cond-mat.str-el
0712.2555,3,0704.0345,0704.0345,1.0,physics.soc-ph
0801.4479,1,0704.0171,0704.0171,1.0,astro-ph
0801.4479,2,0704.0172,0704.0172,1.0,cond-mat.mes-hall cond-mat.str-el
0801.4479,3,0704.0345,0704.0345,1.0,physics.soc-ph
