primary_category,count,cum_pct
astro-ph,9205,18.416998459414575
hep-ph,3591,25.601728656889616
hep-th,3019,31.642023969108262
quant-ph,2646,36.936035693563554
gr-qc,1670,40.2773053760429
cond-mat.mtrl-sci,1524,43.32646405634141
cond-mat.mes-hall,1506,46.339609051439545
cond-mat.str-el,1345,49.03063164002321
cond-mat.stat-mech,1232,51.495568315960064
math-ph,1047,53.590364338448616
nucl-th,960,55.511094215802004
math.AG,955,57.421820291710844
math.PR,943,59.30853724415278
cond-mat.other,822,60.95316220163662
cond-mat.supr-con,816,62.58578259738701
math.DG,792,64.17038474620355
hep-ex,771,65.71297092895301
math.CO,733,67.17952822072387
cond-mat.soft,730,68.64008323162803
math.NT,691,70.02260859126469
math.AP,617,71.25707768952202
hep-lat,571,72.3995118144895
cs.IT,570,73.53994517916809
physics.optics,467,74.47430023408896
physics.gen-ph,465,75.40465376843201
math.GT,442,76.28898981613013
nucl-ex,436,77.1613213020948
math.RT,425,78.01164442488145
math.DS,421,78.85396450651247
cond-mat.dis-nn,386,79.62625797803166
math.CA,346,80.31852103799444
math.ST,340,80.99877953622376
physics.atom-ph,339,81.67703727416418
math.FA,327,82.33128588863768
math.QA,294,82.91950941357716
physics.soc-ph,287,83.49372761649427
math.GR,286,84.06594505912247
math.CV,286,84.63816250175067
math.RA,276,85.19037234148976
nlin.CD,254,85.69856545487285
math.OA,250,86.1987555271003
math.AC,228,86.65492887297172
physics.flu-dyn,227,87.10910145855425
math.AT,220,87.5492687221144
stat.ME,189,87.92741241671835
nlin.SI,176,88.27954622756647
physics.ins-det,172,88.62367699725895
physics.plasm-ph,164,88.95180168464016
physics.class-ph,163,89.27792561173246
math.OC,159,89.59604649766911
math.LO,157,89.91016586302794
q-bio.PE,153,90.21628218723114
math.NA,153,90.52239851143435
math.SP,147,90.81651027390409
physics.bio-ph,140,91.09661671435146
physics.chem-ph,138,91.372721634221
math.SG,136,91.64482503351273
nlin.PS,133,91.91092615193773
physics.data-an,130,92.171024989496
math.GM,127,92.42512154618755
cs.AR,126,92.67721734259018
math.MG,125,92.9273123787039
cs.NI,121,93.16940437366199
cs.LO,120,93.40949560833116
cs.DM,119,93.64758608271143
cs.OH,113,93.87367199535824
cs.DS,112,94.09775714771614
math.KT,102,94.30183469718493
q-bio.BM,100,94.5019107260759
q-bio.QM,96,94.69398371381125
physics.comp-ph,95,94.88405594125769
cs.AI,95,95.0741281687041
stat.AP,94,95.26219963586162
cs.CC,93,95.44827034273024
physics.geo-ph,89,95.62633800844321
cs.CR,86,95.79840339328946
cs.RO,86,95.97046877813568
q-fin.ST,83,96.13653188211521
math.CT,81,96.2985934655169
q-bio.MN,79,96.45665352834078
cs.DC,75,96.606710550009
q-bio.NC,72,96.7507652908105
cs.NE,71,96.8928192713231
math.HO,69,97.03087173125788
physics.acc-ph,63,97.1569196294592
physics.hist-ph,59,97.27496448650487
nlin.AO,56,97.38700706268382
cs.HC,54,97.49504811828494
physics.ed-ph,54,97.60308917388608
cs.CG,54,97.71113022948721
q-fin.GN,51,97.8131690042216
cs.PL,50,97.9132070186671
cs.LG,49,98.01124427282367
physics.med-ph,49,98.10928152698025
math.GN,48,98.20531802084793
cs.CL,47,98.29935375442668
cs.DB,47,98.39338948800544
cs.GT,46,98.4854244612953
q-bio.GN,43,98.57145715371841
physics.ao-ph,42,98.65548908585262
physics.atm-clus,41,98.73752025769792
cs.CE,41,98.81955142954322
cs.CY,38,98.8955803205218
cs.SE,37,98.96960845121146
q-fin.PR,35,99.03963506132331
cs.CV,35,99.10966167143515
stat.CO,31,99.17168524039135
q-bio.OT,30,99.23170804905864
cs.IR,29,99.28973009743703
physics.pop-ph,29,99.3477521458154
q-bio.SC,28,99.40377343390489
q-fin.TR,27,99.45779396170545
q-fin.PM,26,99.5098137292171
q-bio.CB,25,99.55983273643984
stat.ML,24,99.60785098337368
nlin.CG,24,99.65586923030752
cs.DL,20,99.69588443608572
q-bio.TO,19,99.733898881575
physics.space-ph,18,99.76991256677537
cs.MA,14,99.79792321082012
cs.SC,14,99.82593385486484
cs.PF,14,99.85394449890958
cs.MM,13,99.87995438266542
q-fin.RM,13,99.90596426642125
cs.NA,10,99.92597186931033
cs.GR,8,99.94197795162162
cs.MS,8,99.95798403393289
cs.OS,7,99.97198935595526
q-fin.CP,6,99.98399391768872
cs.GL,3,99.98999619855546
cond-mat.quant-gas,3,99.99599847942218
cs.FL,1,99.99799923971109
cs.SD,1,100.0
