column,non_null,non_null_pct
arxiv_id,49981,100.0
title,49981,100.0
abstract,49981,100.0
categories,49981,100.0
update_date,49981,100.0
submitter,49981,100.0
authors_parsed,49981,100.0
authors,49981,100.0
versions,49981,100.0
category_list,49981,100.0
authors_list,49981,100.0
abstract_len,49981,100.0
title_clean,49981,100.0
abstract_clean,49981,100.0
title_lower,49981,100.0
abstract_lower,49981,100.0
primary_category,49981,100.0
n_authors,49981,100.0
n_categories,49981,100.0
has_doi,49981,100.0
title_len,49981,100.0
year,49981,100.0
comments,43923,87.87939416978452
doi,30454,60.93115383845862
journal_ref,25686,51.39152878093676
