author,cat_earliest,cat_latest
  2 Collaboration,gr-qc,hep-ex
  ;,astro-ph,physics.optics
  HARP Collaboration,hep-ex,astro-ph
  Kamiokande Collaboration,hep-ex,astro-ph
  Kontorovich,cs.LG,math.PR
  STAR Collaboration,nucl-ex,hep-ex
  Sumedha,q-bio.QM,physics.data-an
  TEXONO Collaboration,nucl-ex,hep-ex
 A. A. Andrianov,hep-ph,quant-ph
 A. A. Belyaev,hep-ex,nucl-ex
 A. A. Burkov,cond-mat.supr-con,cond-mat.str-el
 A. A. Chabanov,cond-mat.dis-nn,physics.optics
 A. A. Chumak,physics.ins-det,quant-ph
 A. A. Pomeransky,astro-ph,gr-qc
 A. A. Saberi,physics.data-an,cond-mat.stat-mech
 A. A. Saharian,hep-th,physics.class-ph
 A. A. Serga,nlin.PS,cond-mat.mtrl-sci
 A. A. Vladimirov,math.LO,hep-ph
 A. Alatas,cond-mat.supr-con,cond-mat.str-el
 A. Aleksejevs,nucl-th,physics.comp-ph
 A. Ali,cs.DC,hep-ph
 A. Andronic,nucl-th,hep-ph
 A. Antonelli,hep-ex,physics.ins-det
 A. Ardizzoni,math.CT,math.QA
 A. Arnold,cond-mat.other,cond-mat.soft
 A. Avgoustidis,hep-th,astro-ph
 A. Aziz,math.CV,cond-mat.mtrl-sci
 A. B. Kaganovich,hep-th,gr-qc
 A. B. Klimov,quant-ph,nlin.PS
 A. B. Kolomeisky,cond-mat.soft,cond-mat.stat-mech
 A. B. Kolton,cond-mat.supr-con,cond-mat.stat-mech
 A. B. Lazarev,hep-ex,nucl-ex
 A. B. Neganov,hep-ex,nucl-ex
 A. Badolato,physics.optics,cond-mat.other
 A. Ballesteros,nucl-th,math.QA
 A. Bansil,cond-mat.mtrl-sci,cond-mat.supr-con
 A. Bauer,astro-ph,cond-mat.mes-hall
 A. Bendounan,cond-mat.str-el,cond-mat.supr-con
 A. Berger,cond-mat.stat-mech,cond-mat.mtrl-sci
 A. Bershadskii,cond-mat.other,astro-ph
 A. Bonardi,hep-ex,astro-ph
 A. Borodin,math-ph,math.AG
 A. Bostwick,cond-mat.supr-con,cond-mat.mes-hall
 A. Bovier,cond-mat.dis-nn,astro-ph
 A. Braun,quant-ph,physics.atom-ph
 A. Bravar,nucl-ex,hep-ex
 A. Bressan,astro-ph,hep-ex
 A. C. Davis,astro-ph,hep-th
 A. C. Doherty,quant-ph,cond-mat.mes-hall
 A. C. V. V. de Siqueira,hep-th,math-ph
 A. Cano,cond-mat.stat-mech,cond-mat.mtrl-sci
 A. Carati,astro-ph,cond-mat.stat-mech
 A. Cavalleri,gr-qc,cond-mat.str-el
 A. Cavallo,cond-mat.stat-mech,cond-mat.soft
 A. Chincarini,physics.med-ph,gr-qc
 A. Cieply,nucl-th,hep-ph
 A. Colaiuda,gr-qc,astro-ph
 A. Crisanti,cond-mat.dis-nn,cond-mat.stat-mech
 A. Cruz,cond-mat.dis-nn,cs.AR
 A. Curioni,hep-ph,physics.ins-det
 A. D. Alhaidari,physics.atom-ph,quant-ph
 A. D. Bukin,hep-ph,hep-ex
 A. D. Dolgov,hep-ph,astro-ph
