primary_category,count,cum_pct
hep-ph,139006,4.870395266320288
cs.CV,130496,9.442623088671354
quant-ph,122796,13.745063682049095
cs.LG,115729,17.79989565891326
hep-th,110227,21.661952397620126
astro-ph,94216,24.96302688657479
cs.CL,70991,27.45036002580147
gr-qc,68596,29.853778825626705
cond-mat.mes-hall,67173,32.20733954404557
cond-mat.mtrl-sci,66930,34.55238619796566
math.AP,54243,36.45291459552413
astro-ph.GA,51695,38.264167946404136
cond-mat.str-el,50892,40.04728634340551
math.CO,50159,41.80472239770071
astro-ph.SR,46313,43.42740498671911
astro-ph.HE,43570,44.95398025507857
astro-ph.CO,43071,46.46307190950846
cond-mat.stat-mech,42490,47.95180689120672
math.PR,42054,49.42526560903065
math.AG,38412,50.77111847128045
cs.IT,37928,52.100013279137634
math.OC,36168,53.36724243465806
math.NT,35376,54.60672204662694
nucl-th,34832,55.827141366055365
cs.RO,33491,57.000575662879484
math-ph,33217,58.16440973882845
physics.optics,33160,59.326246688536955
cond-mat.supr-con,33094,60.48577117628283
math.NA,32661,61.63012451206177
math.DG,30993,62.71603562733063
cs.AI,30713,63.79213629790957
cond-mat.soft,30497,64.86066891115627
cs.CR,28667,65.86508326089371
astro-ph.EP,24907,66.73775735336626
math.DS,24528,67.59715230820493
hep-ex,24335,68.44978506366803
stat.ME,23042,69.2571145870451
math.FA,21628,70.01490136473797
physics.flu-dyn,21612,70.77212754559142
eess.SP,20646,71.49550769226457
astro-ph.IM,19801,72.1892813183556
stat.ML,19182,72.86136685422134
hep-lat,18692,73.51628411187971
eess.SY,18581,74.16731222896456
eess.IV,18211,74.80537654413772
cs.NI,18058,75.43808015203386
cs.SE,17636,76.05599801829017
cs.DS,17117,76.65573152456763
math.GT,16604,77.23749089468103
math.RT,16371,77.81108657332028
math.CA,16084,78.37462654615236
cs.HC,15973,78.93427737841093
math.ST,15811,79.48825216767031
cs.DC,15580,80.03413334006049
physics.ins-det,15436,80.57496914089586
math.GR,15293,81.11079460747885
cond-mat.quant-gas,14679,81.62510717034891
physics.soc-ph,13631,82.10270064023662
cs.CY,13390,82.57185012023051
physics.chem-ph,13272,83.03686519853362
cs.IR,13173,83.49841158389279
physics.atom-ph,13162,83.95957255892486
physics.plasm-ph,12501,84.39757387702818
nucl-ex,12129,84.82254131861487
cond-mat.dis-nn,12089,85.24610726810299
math.RA,11647,85.654186729902
cs.LO,11390,86.05326160496773
cond-mat,11352,86.45100506253983
cs.SI,11211,86.8438082604645
math.CV,11185,87.2357004885251
physics.app-ph,10749,87.61231645271138
math.LO,10497,87.98010301667671
stat.AP,10276,88.34014633679747
math.AT,9543,88.67450731421208
math.QA,9383,89.00326232323243
physics.gen-ph,9313,89.3295647210803
math.AC,9084,89.6478435766639
cs.SD,8690,89.95231773507665
physics.comp-ph,8584,90.25307793942822
cs.GT,8559,90.55296221121817
math.OA,8500,90.85077928216275
eess.AS,7885,91.12704841209194
q-bio.PE,7845,91.40191604992255
cs.NE,7659,91.67026674949484
cs.DB,7062,91.9177001794961
q-bio.NC,7047,92.16460804996039
cond-mat.other,6872,92.40538439249347
nlin.CD,6822,92.64440886990334
physics.bio-ph,6805,92.88283771317133
physics.acc-ph,6625,93.11495984199578
math.MG,6515,93.34322786754919
q-bio.QM,5706,93.54315071540917
cs.CC,5566,93.73816834092416
physics.med-ph,5517,93.93146913861843
cs.PL,5467,94.12301807118949
nlin.SI,5386,94.31172898226097
math.SG,5139,94.4917856796238
physics.class-ph,5018,94.66760286338851
math.SP,5001,94.84282441301131
cs.SY,4967,95.01685469435034
cs.DM,4957,95.19053460266473
cs.CE,4908,95.36249768315838
cs.CG,4599,95.52363423719062
nlin.PS,4545,95.68287877688981
math.CT,4451,95.83882981015739
physics.geo-ph,4433,95.99415017198059
econ.GN,4358,96.14684273611901
