column,non_null,non_null_pct
arxiv_id,2854101,100.0
title,2854101,100.0
abstract,2854101,100.0
categories,2854101,100.0
update_date,2854101,100.0
title_clean,2854101,100.0
authors_parsed,2854101,100.0
authors,2854101,100.0
versions,2854101,100.0
category_list,2854101,100.0
authors_list,2854101,100.0
abstract_len,2854101,100.0
title_len,2854101,100.0
abstract_clean,2854101,100.0
title_lower,2854101,100.0
abstract_lower,2854101,100.0
primary_category,2854101,100.0
n_authors,2854101,100.0
n_categories,2854101,100.0
has_doi,2854101,100.0
year,2854101,100.0
submitter,2838932,99.46851915892255
comments,2091985,73.29751119529408
doi,1266356,44.36969819918776
journal_ref,912386,31.967544245981482
