primary_category,count
hep-ph,139006
cs.CV,130496
quant-ph,122796
cs.LG,115729
hep-th,110227
astro-ph,94216
cs.CL,70991
gr-qc,68596
cond-mat.mes-hall,67173
cond-mat.mtrl-sci,66930
math.AP,54243
astro-ph.GA,51695
cond-mat.str-el,50892
math.CO,50159
astro-ph.SR,46313
astro-ph.HE,43570
astro-ph.CO,43071
cond-mat.stat-mech,42490
math.PR,42054
math.AG,38412
cs.IT,37928
math.OC,36168
math.NT,35376
nucl-th,34832
cs.RO,33491
math-ph,33217
physics.optics,33160
cond-mat.supr-con,33094
math.NA,32661
math.DG,30993
