primary_category,count
hep-ph,139344
cs.CV,132120
quant-ph,123490
cs.LG,117584
hep-th,110479
astro-ph,94216
cs.CL,72246
gr-qc,68879
cond-mat.mes-hall,67364
cond-mat.mtrl-sci,67287
math.AP,54527
astro-ph.GA,52010
cond-mat.str-el,51040
math.CO,50429
astro-ph.SR,46523
astro-ph.HE,43857
astro-ph.CO,43261
cond-mat.stat-mech,42584
math.PR,42239
math.AG,38573
cs.IT,38053
math.OC,36445
math.NT,35558
nucl-th,34913
cs.RO,34028
physics.optics,33393
math-ph,33297
cond-mat.supr-con,33175
math.NA,32965
cs.AI,31388
